"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"253"	"Acidaminococcus intestini"	"Diagnosis"	"CD"	"diagnosisCD"	0.930577937963633	0	0.21947262223007	2.23456187152892e-05	0.000142225859836076	4.46907381039028e-05	0.000182920230378765	NA	"prevalence"	1527	173
"254"	"Dorea longicatena"	"Read depth"	"Read depth"	"reads"	0.25459920622627	0	0.0602878171445266	2.41005192671961e-05	0.000152402636401622	4.82004576993634e-05	0.000195017943795125	NA	"prevalence"	1527	1020
"255"	"Lacrimispora amygdalina"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.57875529381257	0	0.373814961277439	2.40686505473547e-05	0.000152402636401622	4.81367217947703e-05	0.000195017943795125	NA	"prevalence"	1527	865
"256"	"Collinsella aerofaciens"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.24292195774629	0	0.531448232234375	2.43873618295853e-05	0.000153719048435515	4.87741289157536e-05	0.000196585802042121	NA	"prevalence"	1527	698
"257"	"GGB9713 SGB15249"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.14576776961182	0	0.508873123498971	2.47898090411458e-05	0.000155753333975559	4.95790035476593e-05	0.000199070067476533	NA	"prevalence"	1527	329
"258"	"Clostridium sp. AM49 4BH"	"Age"	"Age"	"age"	0.269661775704869	0	0.0640160969520344	2.52665138390928e-05	0.000158239641158934	5.0532389281464e-05	0.000202129557125856	NA	"prevalence"	1527	344
"259"	"Clostridium symbiosum"	"Diagnosis"	"CD"	"diagnosisCD"	0.63929772299135	0	0.152046133152909	2.61509673390463e-05	0.000163255559682097	5.23012508049999e-05	0.00020841555037766	NA	"prevalence"	1527	539
"260"	"Veillonella parvula"	"Read depth"	"Read depth"	"reads"	-0.963660250300438	-0.341953238969257	0.143110835113685	2.72795318874142e-05	0.000169758615630596	5.45583196019684e-05	0.000216592426690521	NA	"abundance"	1527	547
"261"	"Roseburia inulinivorans"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-0.960482282643063	0	0.229221321672017	2.7871350405798e-05	0.000172890852993426	5.57419239994225e-05	0.00022046244098648	NA	"prevalence"	1527	951
"262"	"Ruminococcus bicirculans"	"Diagnosis"	"UC"	"diagnosisUC"	-0.614127710064175	0	0.146625482994736	2.80915074282641e-05	0.000173705080743127	5.61822257237387e-05	0.000221374740165179	NA	"prevalence"	1527	678
"263"	"Sutterella wadsworthensis"	"Age"	"Age"	"age"	-0.621316425081815	-0.0108468315301573	0.101013289570621	2.85993731237166e-05	0.000176287618560701	2.85993731237166e-05	0.000125837241744353	NA	"abundance"	1527	536
"264"	"Clostridium fessum"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.91086768920497	0	0.457692315680728	2.97979558241545e-05	0.000182524155737924	5.95950237301376e-05	0.000233082759477872	NA	"prevalence"	1527	926
"265"	"GGB9708 SGB15234"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.39557277460222	0	0.574366709051084	3.03522653476948e-05	0.000185338520279361	6.07036094353778e-05	0.000235672836631467	NA	"prevalence"	1527	282
"266"	"Phocaeicola vulgatus"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.58995979390739	-0.218203238148827	0.507400878935806	3.09966029388153e-05	0.000188683371160265	3.09966029388153e-05	0.000134701286845222	NA	"abundance"	1527	1288
"267"	"Roseburia hominis"	"Abx"	"Used"	"antibioticsYes"	-0.798529835129373	0	0.191775140329254	3.12876281331912e-05	0.000189863432833092	6.25742773507081e-05	0.000242045556345596	NA	"prevalence"	1527	876
"268"	"Bacteroides finegoldii"	"Read depth"	"Read depth"	"reads"	0.274308762048149	0	0.0659125384127351	3.15875601991694e-05	0.000191090070059372	6.31741226243796e-05	0.000243473990844324	NA	"prevalence"	1527	333
"269"	"Prevotella stercorea"	"Age"	"Age"	"age"	-1.38311788498821	0	0.332899482658092	3.25627312505182e-05	0.00019638141007257	3.25627312505182e-05	0.000139781480490029	NA	"prevalence"	1527	40
"270"	"Firmicutes bacterium AF16 15"	"Abx"	"Used"	"antibioticsYes"	-0.864563996191169	0	0.208618809410834	3.40959779286491e-05	0.00020499551037717	6.81907933215873e-05	0.000260903904882595	NA	"prevalence"	1527	827
"271"	"Coprococcus comes"	"Diagnosis"	"UC"	"diagnosisUC"	1.28769151116479	0.0724275054371195	0.205713162867681	3.8341376686013e-05	0.000229813036946225	7.66812833108599e-05	0.000291278543799525	NA	"abundance"	1527	759
"272"	"Flavonifractor plautii"	"Diagnosis"	"CD"	"diagnosisCD"	0.919038319419665	-0.0688618225536278	0.174700682226665	3.93300113975537e-05	0.00023501786627162	3.93300113975537e-05	0.000166797156770348	NA	"abundance"	1527	1224
"273"	"Bacteroides ovatus"	"Diagnosis"	"UC"	"diagnosisUC"	1.26343936757743	0.0724275054371195	0.199316485436938	4.06415286381412e-05	0.000240647111996751	4.06415286381412e-05	0.000169634206489633	NA	"abundance"	1527	1176
"274"	"Barnesiella intestinihominis"	"Age"	"Age"	"age"	0.235559171274128	0	0.0573914158913035	4.05309238762916e-05	0.000240647111996751	8.1060204996793e-05	0.000306808517837324	NA	"prevalence"	1527	431
"275"	"Bacteroides fragilis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-0.875061928675612	0	0.213308825359613	4.09020839331995e-05	0.000241458223581486	7.75269102765965e-08	5.60742583918397e-07	NA	"prevalence"	1527	787
"276"	"GGB1543 SGB2126"	"Diagnosis"	"UC"	"diagnosisUC"	-7.55293544404256	0.0724275054371195	1.61296202577735	4.11575050562885e-05	0.000242234231566228	4.11575050562885e-05	0.000171111517084412	NA	"abundance"	1527	42
"277"	"Bacteroides ovatus"	"Read depth"	"Read depth"	"reads"	-0.00272359865261265	-0.341953238969257	0.0761498778541697	4.16846003949978e-05	0.000244429481526279	8.33674631840854e-05	0.000314226932749588	NA	"abundance"	1527	1176
"278"	"Bacteroides stercoris"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.45376591098845	-0.218203238148827	0.744090536338425	4.19057708860304e-05	0.000244429481526279	4.19057708860304e-05	0.000173539192375091	NA	"abundance"	1527	826
"279"	"Enterocloster clostridioformis"	"Read depth"	"Read depth"	"reads"	0.271315523735475	0	0.0662189151217583	4.18085293281883e-05	0.000244429481526279	8.36153107032521e-05	0.000314226932749588	NA	"prevalence"	1527	312
"280"	"Barnesiella intestinihominis"	"Diagnosis"	"CD"	"diagnosisCD"	-0.577996506445857	0	0.141226657514909	4.26403106850411e-05	0.000247973711543364	8.5278803173987e-05	0.00031934190124727	NA	"prevalence"	1527	431
"281"	"Roseburia faecis"	"Diagnosis"	"UC"	"diagnosisUC"	-0.619294737187615	0	0.151633281527912	4.42363505261453e-05	0.000256492073970588	8.84707441975829e-05	0.000328961640396646	NA	"prevalence"	1527	922
"282"	"Parabacteroides merdae"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.55909849847595	-0.218203238148827	0.509891321519221	4.46112892187323e-05	0.000257723921352199	4.46112892187323e-05	0.000182920230378765	NA	"abundance"	1527	826
"283"	"Roseburia faecis"	"Read depth"	"Read depth"	"reads"	0.234408071917477	0	0.0574294038917092	4.47125943389945e-05	0.000257723921352199	8.94231894618965e-05	0.000331336449374606	NA	"prevalence"	1527	922
"284"	"Ruminococcus sp. BSD2780120874 150323 B10"	"Diagnosis"	"UC"	"diagnosisUC"	-1.83207329362301	0	0.450661767436789	4.79716243777565e-05	0.000275695747159224	4.79716243777565e-05	0.000195017943795125	NA	"prevalence"	1527	90
"285"	"Prevotella sp. 885"	"Diagnosis"	"UC"	"diagnosisUC"	2.25155723123537	0	0.554100076056391	4.83529539382117e-05	0.000277072351892274	9.67035698682687e-05	0.000355815225717393	NA	"prevalence"	1527	69
"286"	"Tyzzerella nexilis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.49839895680813	0	0.369183521502233	4.93502092909675e-05	0.000281959967703364	9.86979831387781e-05	0.000361892604842186	NA	"prevalence"	1527	188
"287"	"Proteus mirabilis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.87411312008869	0	0.463810010596197	5.32938497939833e-05	0.000302721460748382	0.000106584859353541	0.00038678217002522	NA	"prevalence"	1527	100
"288"	"Clostridiales bacterium"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.52644993273919	0	0.379088543043531	5.65815609542735e-05	0.000319538641920955	0.000113159920435507	0.000407839167166879	NA	"prevalence"	1527	985
"289"	"Alistipes shahii"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.2113006357295	-0.218203238148827	0.692918815900435	5.71075964055368e-05	0.000321579952093426	5.71075964055368e-05	0.00022418446767378	NA	"abundance"	1527	673
"290"	"GGB3746 SGB5089"	"Diagnosis"	"CD"	"diagnosisCD"	-0.547309830582067	0	0.136072588195752	5.76594668084346e-05	0.0003237545923669	0.000115315609002757	0.000414194840499697	NA	"prevalence"	1527	651
"291"	"GGB3746 SGB5089"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.08966236646763	0	0.271007971529399	5.80067260253122e-05	0.000324771182388138	0.00011601008727036	0.000415276786974577	NA	"prevalence"	1527	651
"292"	"Prevotella copri clade E"	"Age"	"Age"	"age"	-1.31848453829175	0	0.328669186890663	6.0312330895609e-05	0.000336715127342914	6.0312330895609e-05	0.000235017791238978	NA	"prevalence"	1527	38
"293"	"Prevotella sp. 885"	"Diagnosis"	"CD"	"diagnosisCD"	2.23594292607024	0	0.558674869074531	6.274939289751e-05	0.000349322831116053	0.000125494848308711	0.000446203905097639	NA	"prevalence"	1527	69
"294"	"Collinsella aerofaciens"	"Diagnosis"	"UC"	"diagnosisUC"	1.35700959764487	0.0724275054371195	0.242264493124002	6.70259767807657e-05	0.000371016313398346	6.70259767807657e-05	0.00025737975083814	NA	"abundance"	1527	698
"295"	"Alistipes shahii"	"Read depth"	"Read depth"	"reads"	0.0203809244417584	-0.341953238969257	0.0846406198863188	6.76602658602476e-05	0.000371371234525067	0.000135315953808919	0.000477905174656249	NA	"abundance"	1527	673
"296"	"Ruthenibacterium lactatiformans"	"Read depth"	"Read depth"	"reads"	-0.767159768188055	-0.341953238969257	0.10115941152911	6.75900511694083e-05	0.000371371234525067	7.86168089193735e-12	1.22087279733615e-10	NA	"abundance"	1527	797
"297"	"Phascolarctobacterium faecium"	"Abx"	"Used"	"antibioticsYes"	0.763173431946333	0	0.192215101766866	7.1748006354011e-05	0.000391607833563512	0.000143490864931606	0.000505087844559253	NA	"prevalence"	1527	503
"298"	"Gemmiger formicilis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	2.5745337948166	-0.218203238148827	0.648770523087003	7.24949762604954e-05	0.000393486621147244	0.000144984696999408	0.000508650631333471	NA	"abundance"	1527	472
"299"	"Dysgonomonas mossii"	"Diagnosis"	"CD"	"diagnosisCD"	-3.59191309312294	0	0.908111821021644	7.6418109194266e-05	0.000413631538408853	7.6418109194266e-05	0.000291278543799525	NA	"prevalence"	1527	31
"300"	"Candidatus Cibionibacter quicibialis"	"Diagnosis"	"UC"	"diagnosisUC"	-0.59949930653047	0	0.152725989814079	8.66123403702387e-05	0.000465331665618694	0.000173217179042973	0.000602200259037667	NA	"prevalence"	1527	933
"301"	"Phocaeicola plebeius"	"Age"	"Age"	"age"	0.335360573117613	0	0.0854394260278001	8.66840973823974e-05	0.000465331665618694	0.000173360680632056	0.000602200259037667	NA	"prevalence"	1527	127
"302"	"Anaerostipes hadrus"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.35193416630772	0	0.344575227536458	8.72788535254454e-05	0.000467240766544439	0.000174550089452618	0.000604343916268737	NA	"prevalence"	1527	1128
"303"	"Bacteroides thetaiotaomicron"	"Age"	"Age"	"age"	0.529335187347087	-0.0108468315301573	0.0902290007971198	8.77382374930846e-05	0.000468392069882046	8.77382374930846e-05	0.000327390737783383	NA	"abundance"	1527	1062
"304"	"Phocaeicola plebeius"	"Diagnosis"	"UC"	"diagnosisUC"	1.00837432509574	0	0.257135263850223	8.79733314466279e-05	0.000468392069882046	9.59089531866588e-06	4.7773516304298e-05	NA	"prevalence"	1527	127
"305"	"Clostridium sp. 1001270H 150608 G6"	"Diagnosis"	"UC"	"diagnosisUC"	-3.07864964138156	0.0724275054371195	0.753577938849228	9.4280459625784e-05	0.000498802346635065	9.4280459625784e-05	0.000348112466310587	NA	"abundance"	1527	141
"306"	"Bacteroides ovatus"	"Read depth"	"Read depth"	"reads"	0.278268815013144	0	0.0712939782491789	9.49613474658363e-05	0.000498802346635065	8.33674631840854e-05	0.000314226932749588	NA	"prevalence"	1527	1176
"307"	"Clostridiaceae bacterium"	"Diagnosis"	"CD"	"diagnosisCD"	-0.703688168232141	0	0.180280793120553	9.48939937182424e-05	0.000498802346635065	0.000189778982566441	0.000650670797370655	NA	"prevalence"	1527	1109
"308"	"GGB3746 SGB5089"	"Diagnosis"	"UC"	"diagnosisUC"	-0.57432164609494	0	0.147105179590344	9.45545748292052e-05	0.000498802346635065	0.000189100209090789	0.000650455442344864	NA	"prevalence"	1527	651
"309"	"GGB1549 SGB2133"	"Age"	"Age"	"age"	2.19992969239675	-0.0108468315301573	0.500336498456146	0.000101757613589548	0.000533068034729161	0.000101757613589548	0.000371667626449334	NA	"abundance"	1527	46
"310"	"GGB1549 SGB2133"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-6.22034213982243	-0.218203238148827	1.36232733722415	0.00010206781408173	0.000533263392287969	0.00010206781408173	0.000371667626449334	NA	"abundance"	1527	46
"311"	"Phocaeicola massiliensis"	"Diagnosis"	"UC"	"diagnosisUC"	-1.6374174614764	0.0724275054371195	0.381341390464966	0.000103386125704263	0.000538710639003015	0.000206761562717539	0.000704323258805551	NA	"abundance"	1527	396
"312"	"Oscillibacter sp. ER4"	"Abx"	"Used"	"antibioticsYes"	-1.55343530939945	-0.0726333204687373	0.334529059489279	0.000104179515982183	0.00054140099529039	0.000208348178592817	0.000707445905446992	NA	"abundance"	1527	458
"313"	"Parasutterella SGB9260"	"Diagnosis"	"UC"	"diagnosisUC"	1.70046513484353	0.0724275054371195	0.356669932029093	0.00010781836211482	0.000558598562446212	0.00010781836211482	0.000389918460250855	NA	"abundance"	1527	269
"314"	"Clostridium sp. AT4"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.05568713888078	0	0.272679633842417	0.000108154739943281	0.000558598562446212	1.45277370630592e-07	1.00269871494056e-06	NA	"prevalence"	1527	528
"315"	"Escherichia coli"	"Abx"	"Used"	"antibioticsYes"	-0.74623648009757	0	0.193016573121992	0.000110554141869121	0.00056848103476911	2.14279636045888e-05	9.7115577538394e-05	NA	"prevalence"	1527	707
"316"	"Alistipes onderdonkii"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.00749719889879	-0.218203238148827	0.67492486271763	0.000119481592753878	0.000609574496712998	0.000119481592753878	0.000426258655230053	NA	"abundance"	1527	831
"317"	"Faecalibacterium prausnitzii"	"Read depth"	"Read depth"	"reads"	0.435781055135974	0	0.113254811239502	0.000119186754737949	0.000609574496712998	0.000238359303993394	0.000799071190530235	NA	"prevalence"	1527	1374
"318"	"GGB16040 SGB9347"	"Diagnosis"	"UC"	"diagnosisUC"	1.08150861079991	0	0.281933608067714	0.000125034029051706	0.000634944706475924	0.000250052424594992	0.000835618229026302	NA	"prevalence"	1527	114
"319"	"Ruminococcus torques"	"Diagnosis"	"CD"	"diagnosisCD"	0.8791752800429	-0.0688618225536278	0.184422359639165	0.000127949140493522	0.0006477010894413	4.29752071184412e-05	0.00017727272936357	NA	"abundance"	1527	1093
"320"	"Blautia obeum"	"Diagnosis"	"CD"	"diagnosisCD"	0.954081980005527	-0.0688618225536278	0.210400531838369	0.00013169733321472	0.000664952426619024	0.00013169733321472	0.000466685851928671	NA	"abundance"	1527	899
"321"	"Ruminococcus torques"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-0.80919196942661	0	0.213064209524597	0.000145939854821463	0.000734965145157572	0.0002918584112017	0.000966151981909076	NA	"prevalence"	1527	1093
"322"	"Alistipes shahii"	"Read depth"	"Read depth"	"reads"	0.217703108130579	0	0.0573881754594081	0.000148527529843258	0.000746074018801355	0.000135315953808919	0.000477905174656249	NA	"prevalence"	1527	673
"323"	"Clostridiales bacterium"	"Diagnosis"	"UC"	"diagnosisUC"	-0.626308334188965	0	0.165454125520596	0.000153467924222134	0.000766947120025703	0.000306912296040503	0.00100651982800861	NA	"prevalence"	1527	985
"324"	"Clostridium symbiosum"	"Read depth"	"Read depth"	"reads"	0.215002930186303	0	0.0567892380152014	0.000153103871360347	0.000766947120025703	0.000306184301925268	0.00100651982800861	NA	"prevalence"	1527	539
"325"	"Sutterella wadsworthensis"	"Diagnosis"	"UC"	"diagnosisUC"	-0.573832696282559	0	0.151630311656529	0.000154067813131725	0.000767980884845387	0.000308111889372408	0.00100732555782434	NA	"prevalence"	1527	536
"326"	"Bacteroides faecis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-4.57470954880653	-0.218203238148827	1.11056020456201	0.000155144321068779	0.000771151813121559	0.000155144321068779	0.000542491400823279	NA	"abundance"	1527	434
"327"	"Bacteroides uniformis"	"Read depth"	"Read depth"	"reads"	-0.0531657106787184	-0.341953238969257	0.0689533909291061	0.000155493251980499	0.000771151813121559	5.31570190629501e-08	4.00955800931967e-07	NA	"abundance"	1527	1244
"328"	"Dysosmobacter sp. BX15"	"Read depth"	"Read depth"	"reads"	0.213598753663736	0	0.0568950380270745	0.000173854476204087	0.000857857693188854	0.000347678727029278	0.00112277900838813	NA	"prevalence"	1527	621
"329"	"Bacteroides stercoris"	"Age"	"Age"	"age"	-0.602188819278884	-0.0108468315301573	0.118010417646459	0.000181101068275069	0.000891363948134723	0.000181101068275069	0.000624976235615925	NA	"abundance"	1527	826
"330"	"Enterocloster bolteae"	"Age"	"Age"	"age"	0.515191788885616	-0.0108468315301573	0.0941937485341067	0.000183287614154315	0.000899859291601838	0.000366541633959128	0.00116938962374876	NA	"abundance"	1527	866
"331"	"Lacrimispora amygdalina"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	1.86344641822959	-0.218203238148827	0.491089168379605	0.000186937799480091	0.00091547985008546	1.5511419571915e-09	1.56000562551831e-08	NA	"abundance"	1527	865
"332"	"Bacteroides eggerthii"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.55098273020817	0	0.682965305027004	0.000187598014816817	0.00091641630238015	0.000375160836618471	0.00118722407186406	NA	"prevalence"	1527	409
"333"	"Collinsella aerofaciens"	"Read depth"	"Read depth"	"reads"	0.206642368898549	0	0.0554144191064418	0.000192213622429706	0.000936621990592631	0.000384390298782764	0.00121169001646149	NA	"prevalence"	1527	698
"334"	"Lachnospira pectinoschiza"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.11621296516324	0	0.29958932134225	0.000194688821939961	0.000946323278782796	0.000389339740142534	0.00122363918330511	NA	"prevalence"	1527	500
"335"	"Prevotella copri clade B"	"Diagnosis"	"CD"	"diagnosisCD"	-5.62934754800394	-0.0688618225536278	1.32098934264323	0.000202210853672335	0.000980446670163135	0.000202210853672335	0.000691050684394778	NA	"abundance"	1527	40
"336"	"Acidaminococcus intestini"	"Abx"	"Used"	"antibioticsYes"	0.83569381845436	0	0.225087835503559	0.00020502313424518	0.000991621792859112	0.000410004234004784	0.00128095997369542	NA	"prevalence"	1527	173
"337"	"Clostridium sp. AM22 11AC"	"Diagnosis"	"CD"	"diagnosisCD"	1.00004558294257	-0.0688618225536278	0.235442392595997	0.000208016922202514	0.00100361744687336	0.000415990573365106	0.00129323822051313	NA	"abundance"	1527	730
"338"	"Blautia obeum"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.30704412093158	0	0.352635651119169	0.000210143047964785	0.0010113781175448	0.000420241935828961	0.00129758913519118	NA	"prevalence"	1527	899
"339"	"Alistipes putredinis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.97130780086785	0	0.532160925207857	0.000211937434040193	0.00101750797571139	0.000423829950604438	0.00130485255929529	NA	"prevalence"	1527	873
"340"	"Faecalibacterium prausnitzii"	"Age"	"Age"	"age"	-0.441632281349489	-0.0108468315301573	0.0523573411329908	0.000214991257577513	0.00102963950320211	1.08020119674291e-07	7.65565411919809e-07	NA	"abundance"	1527	1374
"341"	"Dysosmobacter sp. BX15"	"Diagnosis"	"CD"	"diagnosisCD"	-0.495317539185249	0	0.133892128786491	0.00021612886092496	0.00103255695415006	0.000432211010165397	0.00132678728701936	NA	"prevalence"	1527	621
"342"	"Phocaeicola dorei"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-0.879431017955434	0	0.23831875309596	0.000224125291386823	0.00106814833992647	0.000448200350627406	0.00136791783312873	NA	"prevalence"	1527	769
"343"	"Paraprevotella clara"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-6.59694815929357	-0.218203238148827	1.67374777960763	0.000224811505336042	0.00106881187695043	0.000224811505336042	0.000760900479598912	NA	"abundance"	1527	178
"344"	"Phocaeicola massiliensis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-4.05602578757355	-0.218203238148827	0.996979371791037	0.00022687677513189	0.00107601266652358	0.00022687677513189	0.000765437298847527	NA	"abundance"	1527	396
"345"	"Fusicatenibacter saccharivorans"	"Age"	"Age"	"age"	0.261210342610928	0	0.0708789590444261	0.000228431952985166	0.00108076522066105	0.000456811724813188	0.0013861873028814	NA	"prevalence"	1527	1119
"346"	"Bacteroides finegoldii"	"Read depth"	"Read depth"	"reads"	-1.05552172008203	-0.341953238969257	0.188344033317163	0.00022953850517593	0.00108337738916369	6.31741226243796e-05	0.000243473990844324	NA	"abundance"	1527	333
"347"	"Rikenellaceae bacterium"	"Diagnosis"	"CD"	"diagnosisCD"	-1.15443053002052	0	0.313765458899315	0.000233894668321226	0.00110127754674621	0.000233894668321226	0.000786601177538901	NA	"prevalence"	1527	67
"348"	"Parasutterella excrementihominis"	"Read depth"	"Read depth"	"reads"	0.205366175201832	0	0.0558698941129598	0.000237111570898311	0.00111336546409325	0.000474166919899569	0.00143062933546841	NA	"prevalence"	1527	699
"349"	"Anaerostipes hadrus"	"Read depth"	"Read depth"	"reads"	0.245014215037553	0	0.0667667755376046	0.000242832741084782	0.00113515592363556	0.000485606514429422	0.00146097002631758	NA	"prevalence"	1527	1128
"350"	"Ruthenibacterium lactatiformans"	"Age"	"Age"	"age"	0.200881743688168	0	0.0548042418666859	0.000246912229423824	0.00115147135153736	0.00049376349319861	0.00148129047959583	NA	"prevalence"	1527	797
"351"	"Coprococcus eutactus"	"Diagnosis"	"UC"	"diagnosisUC"	2.01815130554371	0.0724275054371195	0.47687853931095	0.000249513777433652	0.00116083314548894	0.000498965297742175	0.00149265539494543	NA	"abundance"	1527	177
"352"	"Bifidobacterium adolescentis"	"Age"	"Age"	"age"	-0.226717167152245	0	0.0619788944416467	0.000254217103785606	0.00117990551258212	0.000508369581235354	0.0015164923101258	NA	"prevalence"	1527	427
"353"	"GGB1266 SGB1699"	"Diagnosis"	"UC"	"diagnosisUC"	1.17031108928669	0	0.320598795699041	0.000261840993843542	0.00121241066817602	0.000523613426981026	0.00155756557434356	NA	"prevalence"	1527	84
"354"	"Phocaeicola sartorii"	"Diagnosis"	"CD"	"diagnosisCD"	1.30576794065178	-0.0688618225536278	0.335551521677767	0.000262505778085398	0.00121261534368527	0.000262505778085398	0.000874467197659874	NA	"abundance"	1527	424
"355"	"Parabacteroides merdae"	"Read depth"	"Read depth"	"reads"	-0.0213661019460041	-0.341953238969257	0.0815817061381945	0.000264779087364664	0.00122023192620413	0.000529488066764222	0.00157061628792983	NA	"abundance"	1527	826
"356"	"Clostridiaceae bacterium Marseille Q4149"	"Diagnosis"	"CD"	"diagnosisCD"	-0.751019910106174	0	0.206534495690462	0.000276589873489238	0.00126867749483092	0.000553103245020359	0.00163607010291737	NA	"prevalence"	1527	181
"357"	"Butyrivibrio crossotus"	"Diagnosis"	"CD"	"diagnosisCD"	-2.25274876600867	0	0.619665330095464	0.000277519368780909	0.00126995982809812	0.000277519368780909	0.000921573752932829	NA	"prevalence"	1527	43
"358"	"Haemophilus parainfluenzae"	"Abx"	"Used"	"antibioticsYes"	-0.714091374399114	0	0.196797979203866	0.000285017178642634	0.00130122328754137	0.000569953122493146	0.00167651949123332	NA	"prevalence"	1527	674
"359"	"Faecalibacterium prausnitzii"	"Abx"	"Used"	"antibioticsYes"	-1.00979070092083	0	0.278964877272491	0.000294856795054319	0.00134300740684415	0.000589626649579048	0.00172957150543187	NA	"prevalence"	1527	1374
"360"	"Candidatus Cibionibacter quicibialis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.37231232464837	0	0.379275064780359	0.000296600847289139	0.00134780943163483	0.000593113722515665	0.00173498086143086	NA	"prevalence"	1527	933
"361"	"Anaerostipes hadrus"	"Diagnosis"	"UC"	"diagnosisUC"	1.07483218626307	0.0724275054371195	0.181303782340114	0.00030313252327252	0.00137429454866474	0.000606173157218375	0.00176828412713427	NA	"abundance"	1527	1128
"362"	"Prevotella stercorea"	"Diagnosis"	"UC"	"diagnosisUC"	2.74624531629267	0	0.760707805542669	0.000306057157865497	0.00138434186682681	0.000306057157865497	0.00100651982800861	NA	"prevalence"	1527	40
"363"	"Bacteroides cellulosilyticus"	"Age"	"Age"	"age"	0.674522616565621	-0.0108468315301573	0.157635868002248	0.000310900444151052	0.00139976835915013	0.000310900444151052	0.00101330515130713	NA	"abundance"	1527	433
"364"	"Bacteroides fragilis"	"Diagnosis"	"UC"	"diagnosisUC"	1.41625660057725	0.0724275054371195	0.309045774681487	0.000325985994754419	0.00146095558199572	0.000325985994754419	0.00105920372449436	NA	"abundance"	1527	787
"365"	"Dysosmobacter welbionis"	"Diagnosis"	"CD"	"diagnosisCD"	0.726470271257604	-0.0688618225536278	0.148905233017022	0.000331681758406699	0.00148308044834483	0.000331681758406699	0.00107440471434808	NA	"abundance"	1527	1191
"366"	"GGB9480 SGB14874"	"Age"	"Age"	"age"	0.221875569547985	0	0.0618341182827936	0.000332919561841973	0.0014852164927836	0.000665728288249288	0.00193134360547046	NA	"prevalence"	1527	332
"367"	"Alistipes onderdonkii"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-3.48716442843928	0	0.973457515081269	0.000340652590122119	0.00151280718431505	0.000681189136057081	0.00196539816304994	NA	"prevalence"	1527	831
"368"	"Gemmiger formicilis"	"Read depth"	"Read depth"	"reads"	0.215638408537457	0	0.0603018300757237	0.000348912350471656	0.00154597445084266	0.000697702961115	0.00200755947394398	NA	"prevalence"	1527	472
"369"	"Faecalibacterium SGB15346"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.38948323557724	-0.218203238148827	0.847724462034678	0.000353661694410423	0.00156347273954291	0.000353661694410423	0.00113861813810185	NA	"abundance"	1527	743
"370"	"Enterocloster clostridioformis"	"Diagnosis"	"UC"	"diagnosisUC"	-1.9570047938785	0.0724275054371195	0.52155331636511	0.000360647351298704	0.00159075603710534	0.000360647351298704	0.0011575793403387	NA	"abundance"	1527	312
